순위,이름,팀,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
1,로하스,20KRF, 7.76 , 142 , 628 , 550 , 116 , 192 , 39 , 1 , 47 , 374 , 135 , 0 , 1 , 65 , 5 , 5 , 132 , 11 , 0 , 8 , .349 , .417 , .680 , 1.097 , .467 , 180.5 , 7.76 , 7.29 
2,김하성,20키SS, 6.83 , 138 , 622 , 533 , 111 , 163 , 24 , 1 , 30 , 279 , 109 , 23 , 2 , 75 , 8 , 3 , 68 , 12 , 3 , 3 , .306 , .397 , .523 , .921 , .407 , 147.0 , 6.83 , 4.22 
3,양의지,20NC, 6.00 , 130 , 528 , 461 , 86 , 151 , 26 , 1 , 33 , 278 , 124 , 5 , 2 , 46 , 14 , 7 , 47 , 11 , 1 , 6 , .328 , .400 , .603 , 1.003 , .432 , 154.3 , 6.00 , 3.68 
4,최형우,20KDH, 5.75 , 140 , 600 , 522 , 93 , 185 , 37 , 1 , 28 , 308 , 115 , 0 , 0 , 70 , 5 , 5 , 101 , 9 , 0 , 3 , .354 , .433 , .590 , 1.023 , .450 , 169.3 , 5.75 , 7.20 
5,터커,20KRF, 5.74 , 142 , 631 , 542 , 100 , 166 , 40 , 0 , 32 , 302 , 113 , 0 , 2 , 76 , 9 , 3 , 67 , 12 , 0 , 4 , .306 , .398 , .557 , .955 , .420 , 149.6 , 5.74 , 2.40 
6,이정후,20키RF, 5.56 , 140 , 617 , 544 , 85 , 181 , 49 , 5 , 15 , 285 , 101 , 12 , 2 , 59 , 4 , 6 , 47 , 16 , 2 , 8 , .333 , .397 , .524 , .921 , .406 , 142.8 , 5.56 , 3.81 
7,김현수,20LLF, 5.31 , 142 , 619 , 547 , 98 , 181 , 35 , 2 , 22 , 286 , 119 , 0 , 2 , 63 , 2 , 7 , 53 , 9 , 0 , 7 , .331 , .397 , .523 , .920 , .407 , 148.4 , 5.31 , 5.17 
8,나성범,20NDH, 5.18 , 130 , 584 , 525 , 115 , 170 , 37 , 2 , 34 , 313 , 112 , 3 , 1 , 49 , 9 , 2 , 148 , 6 , 0 , 1 , .324 , .390 , .596 , .987 , .430 , 153.5 , 5.18 , 4.30 
9,황재균,20K3B, 5.13 , 134 , 600 , 541 , 108 , 169 , 35 , 5 , 21 , 277 , 97 , 11 , 6 , 47 , 5 , 0 , 98 , 12 , 3 , 4 , .312 , .370 , .512 , .882 , .391 , 129.6 , 5.13 , 3.52 
10,손아섭,20롯RF, 4.93 , 141 , 611 , 540 , 98 , 190 , 43 , 0 , 11 , 266 , 85 , 5 , 0 , 61 , 2 , 4 , 56 , 9 , 1 , 7 , .352 , .415 , .493 , .907 , .409 , 140.2 , 4.93 , 4.57 
11,최정,20S3B, 4.92 , 133 , 553 , 452 , 90 , 122 , 22 , 0 , 33 , 243 , 96 , 8 , 3 , 75 , 20 , 1 , 98 , 7 , 0 , 6 , .270 , .392 , .538 , .930 , .409 , 138.8 , 4.92 , 4.52 
12,강백호,20K1B, 4.74 , 129 , 574 , 500 , 95 , 165 , 36 , 1 , 23 , 272 , 89 , 7 , 2 , 66 , 5 , 9 , 93 , 7 , 0 , 3 , .330 , .411 , .544 , .955 , .421 , 149.2 , 4.74 , 3.13 
13,김재환,20두LF, 4.70 , 140 , 613 , 515 , 82 , 137 , 26 , 1 , 30 , 255 , 113 , 6 , 0 , 91 , 1 , 3 , 154 , 14 , 0 , 6 , .266 , .374 , .495 , .869 , .385 , 135.2 , 4.70 , 2.33 
14,박민우,20N2B, 4.47 , 126 , 530 , 467 , 82 , 161 , 27 , 5 , 8 , 222 , 63 , 13 , 6 , 36 , 15 , 2 , 48 , 12 , 2 , 10 , .345 , .402 , .475 , .877 , .396 , 132.6 , 4.47 , 1.46 
15,알테어,20NCF, 4.43 , 136 , 546 , 482 , 90 , 134 , 20 , 7 , 31 , 261 , 108 , 22 , 3 , 46 , 12 , 3 , 149 , 10 , 0 , 6 , .278 , .352 , .541 , .893 , .387 , 124.7 , 4.43 , 2.78 
16,오지환,20LSS, 4.41 , 141 , 591 , 527 , 95 , 158 , 41 , 7 , 10 , 243 , 71 , 20 , 8 , 45 , 9 , 1 , 116 , 4 , 5 , 5 , .300 , .362 , .461 , .823 , .368 , 119.9 , 4.41 , 1.21 
17,페르난데스,20두DH, 4.40 , 144 , 668 , 586 , 104 , 199 , 29 , 0 , 21 , 291 , 105 , 0 , 1 , 58 , 13 , 1 , 42 , 26 , 0 , 11 , .340 , .404 , .497 , .901 , .406 , 146.5 , 4.40 , 4.31 
18,로맥,20S1B, 4.38 , 139 , 586 , 485 , 85 , 137 , 32 , 0 , 32 , 265 , 91 , 4 , 2 , 91 , 6 , 5 , 116 , 5 , 0 , 4 , .282 , .399 , .546 , .946 , .414 , 142.7 , 4.38 , 4.31 
19,라모스,20L1B, 4.35 , 117 , 494 , 431 , 74 , 120 , 17 , 2 , 38 , 255 , 86 , 2 , 0 , 55 , 4 , 5 , 136 , 7 , 0 , 4 , .278 , .362 , .592 , .954 , .407 , 153.6 , 4.35 , 2.45 
20,박석민,20N3B, 4.06 , 123 , 448 , 356 , 58 , 109 , 15 , 0 , 14 , 166 , 63 , 0 , 1 , 75 , 10 , 2 , 62 , 11 , 2 , 4 , .306 , .436 , .466 , .902 , .411 , 142.6 , 4.06 , 2.64 
21,최주환,20두2B, 4.00 , 140 , 573 , 508 , 63 , 155 , 29 , 4 , 16 , 240 , 86 , 2 , 2 , 48 , 6 , 5 , 66 , 7 , 1 , 10 , .305 , .365 , .472 , .838 , .372 , 123.6 , 4.00 , 1.70 
22,홍창기,20LCF, 3.91 , 135 , 507 , 408 , 87 , 114 , 29 , 6 , 5 , 170 , 39 , 11 , 5 , 83 , 10 , 1 , 87 , 8 , 3 , 3 , .279 , .411 , .417 , .827 , .384 , 129.5 , 3.91 , 2.81 
23,박건우,20두RF, 3.78 , 129 , 551 , 487 , 103 , 148 , 40 , 0 , 14 , 230 , 70 , 8 , 2 , 42 , 12 , 2 , 65 , 9 , 3 , 7 , .304 , .369 , .472 , .841 , .375 , 126.5 , 3.78 , 1.67 
24,오재일,20두1B, 3.57 , 127 , 534 , 471 , 62 , 147 , 32 , 0 , 16 , 227 , 89 , 2 , 1 , 61 , 0 , 1 , 92 , 12 , 0 , 2 , .312 , .390 , .482 , .872 , .394 , 138.8 , 3.57 , 1.35 
25,허경민,20두3B, 3.55 , 117 , 487 , 437 , 70 , 145 , 25 , 1 , 7 , 193 , 58 , 14 , 6 , 35 , 5 , 2 , 28 , 10 , 3 , 7 , .332 , .382 , .442 , .824 , .373 , 122.7 , 3.55 , 1.58 
26,배정대,20KCF, 3.55 , 144 , 615 , 533 , 88 , 154 , 25 , 3 , 13 , 224 , 65 , 22 , 13 , 68 , 5 , 0 , 142 , 9 , 5 , 4 , .289 , .372 , .420 , .792 , .362 , 110.3 , 3.55 , 0.95 
27,구자욱,20삼LF, 3.38 , 118 , 510 , 446 , 70 , 137 , 27 , 2 , 15 , 213 , 78 , 19 , 5 , 51 , 8 , 3 , 91 , 4 , 1 , 4 , .307 , .385 , .478 , .863 , .387 , 126.6 , 3.38 , 4.53 
28,노진혁,20NSS, 3.31 , 132 , 484 , 427 , 70 , 117 , 22 , 3 , 20 , 205 , 82 , 0 , 4 , 49 , 5 , 3 , 106 , 8 , 3 , 0 , .274 , .356 , .480 , .836 , .370 , 114.4 , 3.31 , 1.41 
29,김상수,20삼2B, 3.26 , 120 , 471 , 404 , 71 , 123 , 18 , 3 , 5 , 162 , 47 , 10 , 3 , 55 , 8 , 1 , 55 , 16 , 2 , 2 , .304 , .397 , .401 , .798 , .372 , 118.5 , 3.26 , 0.76 
30,마차도,20롯SS, 3.25 , 144 , 560 , 486 , 79 , 136 , 31 , 1 , 12 , 205 , 67 , 15 , 1 , 54 , 8 , 2 , 60 , 20 , 4 , 8 , .280 , .356 , .422 , .778 , .351 , 102.5 , 3.25 , 1.71 
31,나지완,20KLF, 3.12 , 137 , 556 , 468 , 73 , 136 , 19 , 1 , 17 , 208 , 92 , 0 , 0 , 64 , 18 , 1 , 114 , 6 , 0 , 6 , .291 , .392 , .444 , .837 , .383 , 124.8 , 3.12 , 4.11 
32,전준우,20롯LF, 3.06 , 143 , 628 , 562 , 95 , 157 , 34 , 1 , 26 , 271 , 96 , 5 , 5 , 52 , 8 , 0 , 79 , 21 , 3 , 3 , .279 , .347 , .482 , .829 , .368 , 113.3 , 3.06 , 1.75 
33,강민호,20삼C, 3.02 , 119 , 393 , 355 , 46 , 102 , 14 , 0 , 19 , 173 , 61 , 0 , 0 , 31 , 4 , 2 , 54 , 17 , 0 , 3 , .287 , .349 , .487 , .836 , .370 , 113.2 , 3.02 , 0.55 
34,정수빈,20두CF, 2.95 , 141 , 559 , 490 , 84 , 146 , 17 , 8 , 5 , 194 , 59 , 15 , 6 , 55 , 2 , 3 , 56 , 10 , 7 , 5 , .298 , .368 , .396 , .764 , .348 , 104.3 , 2.95 , 1.48 
35,유강남,20LC, 2.91 , 137 , 478 , 429 , 51 , 112 , 18 , 0 , 16 , 178 , 74 , 1 , 1 , 32 , 13 , 1 , 84 , 18 , 2 , 2 , .261 , .330 , .415 , .745 , .337 , 101.7 , 2.91 , 0.77 
36,최재훈,20한C, 2.77 , 126 , 389 , 339 , 46 , 102 , 19 , 0 , 3 , 130 , 36 , 0 , 0 , 29 , 16 , 0 , 44 , 7 , 5 , 0 , .301 , .383 , .383 , .766 , .358 , 111.1 , 2.77 , 0.51 
37,이형종,20LRF, 2.73 , 81 , 323 , 287 , 41 , 85 , 17 , 2 , 17 , 157 , 50 , 1 , 0 , 27 , 7 , 1 , 61 , 7 , 0 , 2 , .296 , .368 , .547 , .916 , .401 , 146.7 , 2.73 , 0.05 
38,김혜성,20키2B, 2.72 , 142 , 553 , 499 , 80 , 142 , 24 , 6 , 7 , 199 , 61 , 25 , 7 , 46 , 2 , 0 , 94 , 6 , 2 , 4 , .285 , .345 , .399 , .744 , .341 , 98.7 , 2.72 , 1.38 
39,정훈,20롯CF, 2.68 , 111 , 476 , 410 , 72 , 121 , 19 , 1 , 11 , 175 , 58 , 11 , 1 , 56 , 4 , 0 , 85 , 8 , 2 , 4 , .295 , .382 , .427 , .809 , .371 , 115.9 , 2.68 , 1.87 
40,박해민,20삼CF, 2.49 , 132 , 541 , 489 , 84 , 142 , 18 , 5 , 11 , 203 , 55 , 34 , 12 , 39 , 3 , 1 , 77 , 7 , 7 , 3 , .290 , .345 , .415 , .760 , .342 , 98.2 , 2.49 , -0.11 
41,최원준,20KCF, 2.49 , 123 , 412 , 359 , 72 , 117 , 16 , 6 , 2 , 151 , 35 , 14 , 3 , 33 , 6 , 0 , 35 , 1 , 9 , 5 , .326 , .387 , .421 , .808 , .365 , 113.3 , 2.49 , 2.31 
42,한동희,20롯3B, 2.47 , 135 , 531 , 461 , 62 , 128 , 22 , 0 , 17 , 201 , 67 , 0 , 3 , 57 , 5 , 0 , 97 , 15 , 5 , 3 , .278 , .361 , .436 , .797 , .360 , 108.6 , 2.47 , 0.40 
43,박경수,20K2B, 2.39 , 119 , 391 , 324 , 33 , 91 , 17 , 0 , 13 , 147 , 59 , 0 , 1 , 48 , 9 , 2 , 96 , 14 , 3 , 7 , .281 , .381 , .454 , .835 , .374 , 118.7 , 2.39 , 0.77 
44,김선빈,20K2B, 2.26 , 85 , 351 , 303 , 42 , 100 , 19 , 0 , 1 , 122 , 37 , 1 , 1 , 40 , 2 , 0 , 43 , 12 , 1 , 5 , .330 , .406 , .403 , .808 , .378 , 121.1 , 2.26 , 1.07 
45,박동원,20키C, 2.24 , 112 , 372 , 324 , 45 , 81 , 21 , 0 , 12 , 138 , 50 , 0 , 0 , 38 , 6 , 0 , 68 , 10 , 2 , 2 , .250 , .338 , .426 , .764 , .345 , 104.5 , 2.24 , 0.23 
46,김동엽,20삼DH, 2.24 , 115 , 451 , 413 , 60 , 129 , 21 , 0 , 20 , 210 , 74 , 4 , 4 , 29 , 4 , 0 , 79 , 14 , 1 , 4 , .312 , .360 , .508 , .869 , .385 , 123.6 , 2.24 , 1.59 
47,장성우,20KC, 2.22 , 130 , 455 , 400 , 39 , 111 , 15 , 0 , 13 , 165 , 79 , 0 , 0 , 38 , 1 , 0 , 64 , 15 , 10 , 6 , .278 , .337 , .413 , .750 , .333 , 92.1 , 2.22 , 0.62 
48,이용규,20한CF, 2.21 , 120 , 487 , 419 , 60 , 120 , 14 , 2 , 1 , 141 , 32 , 17 , 8 , 59 , 6 , 0 , 36 , 9 , 2 , 1 , .286 , .381 , .337 , .718 , .345 , 102.8 , 2.21 , 1.07 
49,서건창,20키DH, 2.17 , 135 , 595 , 484 , 79 , 134 , 28 , 5 , 5 , 187 , 52 , 24 , 10 , 91 , 5 , 1 , 58 , 8 , 5 , 10 , .277 , .390 , .386 , .776 , .361 , 111.4 , 2.17 , 1.19 
50,채은성,20LRF, 2.08 , 109 , 464 , 416 , 59 , 122 , 17 , 2 , 15 , 188 , 88 , 0 , 3 , 32 , 9 , 1 , 69 , 12 , 0 , 7 , .293 , .351 , .452 , .803 , .361 , 116.9 , 2.08 , -0.14 
51,안치홍,20롯2B, 2.01 , 124 , 460 , 412 , 49 , 118 , 28 , 0 , 8 , 170 , 54 , 14 , 3 , 35 , 7 , 2 , 47 , 11 , 4 , 2 , .286 , .351 , .413 , .764 , .346 , 99.1 , 2.01 , -0.20 
52,권희동,20NRF, 1.98 , 123 , 426 , 346 , 67 , 90 , 16 , 0 , 12 , 142 , 50 , 3 , 0 , 58 , 11 , 0 , 72 , 6 , 6 , 5 , .260 , .379 , .410 , .789 , .360 , 109.3 , 1.98 , 1.68 
53,김재호,20두SS, 1.98 , 120 , 457 , 401 , 48 , 116 , 15 , 1 , 2 , 139 , 39 , 6 , 2 , 45 , 4 , 1 , 45 , 17 , 2 , 5 , .289 , .363 , .347 , .709 , .334 , 95.3 , 1.98 , -0.09 
54,박준태,20키CF, 1.89 , 128 , 443 , 347 , 71 , 85 , 13 , 1 , 5 , 115 , 29 , 5 , 1 , 65 , 19 , 0 , 120 , 4 , 9 , 3 , .245 , .389 , .331 , .721 , .344 , 101.8 , 1.89 , 0.81 
55,박병호,20키1B, 1.81 , 93 , 383 , 309 , 56 , 69 , 7 , 0 , 21 , 139 , 66 , 0 , 0 , 57 , 9 , 2 , 114 , 8 , 0 , 8 , .223 , .353 , .450 , .802 , .357 , 115.7 , 1.81 , 0.50 
56,강진성,20N1B, 1.81 , 121 , 432 , 395 , 53 , 122 , 25 , 0 , 12 , 183 , 70 , 9 , 1 , 20 , 9 , 0 , 46 , 11 , 2 , 6 , .309 , .351 , .463 , .815 , .364 , 112.0 , 1.81 , 0.78 
57,박세혁,20두C, 1.77 , 124 , 423 , 360 , 47 , 97 , 18 , 2 , 4 , 131 , 51 , 5 , 3 , 35 , 12 , 0 , 45 , 7 , 9 , 7 , .269 , .348 , .364 , .712 , .326 , 90.8 , 1.77 , 1.06 
58,이명기,20NLF, 1.70 , 136 , 540 , 477 , 82 , 146 , 18 , 3 , 2 , 176 , 45 , 12 , 7 , 50 , 4 , 0 , 78 , 6 , 5 , 4 , .306 , .374 , .369 , .743 , .347 , 101.8 , 1.70 , 1.00 
59,조용호,20KLF, 1.48 , 132 , 482 , 409 , 73 , 121 , 15 , 0 , 0 , 136 , 32 , 12 , 3 , 64 , 2 , 1 , 83 , 6 , 5 , 2 , .296 , .392 , .333 , .725 , .347 , 99.7 , 1.48 , 1.84 
60,살라디노,20삼LF, 1.37 , 44 , 163 , 132 , 26 , 37 , 8 , 0 , 6 , 63 , 27 , 6 , 1 , 23 , 7 , 0 , 41 , 3 , 0 , 1 , .280 , .411 , .477 , .888 , .405 , 137.2 , 1.37 , 0.53 
61,오윤석,20롯2B, 1.31 , 63 , 197 , 168 , 31 , 50 , 7 , 1 , 4 , 71 , 32 , 2 , 1 , 24 , 2 , 0 , 47 , 2 , 1 , 2 , .298 , .388 , .423 , .810 , .373 , 117.0 , 1.31 , 0.44 
62,한유섬,20SRF, 1.31 , 62 , 231 , 193 , 35 , 48 , 5 , 0 , 15 , 98 , 31 , 2 , 0 , 30 , 6 , 1 , 49 , 8 , 0 , 2 , .249 , .364 , .508 , .871 , .383 , 121.2 , 1.31 , 0.56 
63,이원석,20삼3B, 1.29 , 121 , 467 , 403 , 46 , 108 , 17 , 0 , 13 , 164 , 74 , 0 , 1 , 49 , 2 , 1 , 82 , 7 , 1 , 12 , .268 , .341 , .407 , .748 , .338 , 94.3 , 1.29 , 0.22 
64,허정협,20키LF, 1.28 , 111 , 360 , 314 , 45 , 84 , 12 , 0 , 10 , 126 , 43 , 0 , 0 , 40 , 2 , 0 , 73 , 7 , 3 , 1 , .268 , .353 , .401 , .754 , .346 , 104.5 , 1.28 , 1.38 
65,반즈,20한1B, 1.23 , 74 , 319 , 283 , 38 , 75 , 17 , 1 , 9 , 121 , 42 , 2 , 1 , 27 , 7 , 1 , 81 , 4 , 0 , 2 , .265 , .342 , .428 , .769 , .349 , 104.5 , 1.23 , 0.31 
66,이지영,20키C, 1.14 , 101 , 289 , 262 , 22 , 81 , 10 , 2 , 0 , 95 , 36 , 1 , 1 , 19 , 4 , 1 , 28 , 8 , 3 , 1 , .309 , .364 , .363 , .726 , .338 , 95.4 , 1.14 , 0.37 
67,김호재,20삼3B, 1.11 , 65 , 138 , 118 , 19 , 38 , 5 , 0 , 1 , 46 , 10 , 2 , 0 , 16 , 3 , 0 , 19 , 1 , 1 , 0 , .322 , .416 , .390 , .806 , .381 , 124.4 , 1.11 , 0.03 
68,이대호,20롯DH, 1.02 , 144 , 611 , 542 , 67 , 158 , 27 , 0 , 20 , 245 , 110 , 1 , 0 , 53 , 5 , 9 , 68 , 21 , 0 , 11 , .292 , .354 , .452 , .806 , .357 , 106.1 , 1.02 , 3.56 
69,이병규,20롯1B, 0.97 , 53 , 194 , 164 , 28 , 45 , 4 , 0 , 9 , 76 , 32 , 0 , 0 , 28 , 1 , 0 , 55 , 5 , 0 , 1 , .274 , .381 , .463 , .845 , .383 , 123.9 , 0.97 , 0.91 
70,김민성,20L3B, 0.96 , 87 , 333 , 297 , 29 , 79 , 20 , 0 , 5 , 114 , 47 , 2 , 1 , 24 , 4 , 2 , 66 , 8 , 4 , 4 , .266 , .325 , .384 , .709 , .319 , 87.8 , 0.96 , -0.30 
71,김준태,20롯C, 0.95 , 128 , 369 , 306 , 38 , 69 , 12 , 2 , 5 , 100 , 43 , 2 , 2 , 56 , 1 , 0 , 64 , 5 , 3 , 3 , .225 , .344 , .327 , .671 , .318 , 81.7 , 0.95 , 0.11 
72,김강민,20SCF, 0.93 , 122 , 327 , 289 , 39 , 73 , 11 , 1 , 12 , 122 , 45 , 7 , 5 , 27 , 4 , 2 , 62 , 10 , 5 , 2 , .253 , .323 , .422 , .745 , .329 , 88.0 , 0.93 , 0.17 
73,정은원,20한2B, 0.92 , 79 , 303 , 254 , 28 , 63 , 9 , 2 , 3 , 85 , 29 , 1 , 1 , 41 , 5 , 0 , 41 , 4 , 2 , 1 , .248 , .362 , .335 , .697 , .332 , 94.1 , 0.92 , -0.20 
74,채태인,20SDH, 0.85 , 71 , 189 , 160 , 11 , 45 , 5 , 0 , 7 , 71 , 24 , 0 , 0 , 29 , 0 , 2 , 33 , 4 , 0 , 0 , .281 , .392 , .444 , .835 , .380 , 121.5 , 0.85 , -0.39 
75,노시환,20한3B, 0.83 , 107 , 387 , 346 , 46 , 76 , 18 , 2 , 12 , 134 , 43 , 0 , 1 , 33 , 6 , 1 , 116 , 8 , 1 , 1 , .220 , .298 , .387 , .685 , .310 , 78.7 , 0.83 , -2.10 
76,하주석,20한SS, 0.83 , 72 , 281 , 262 , 22 , 75 , 11 , 0 , 2 , 92 , 32 , 4 , 1 , 13 , 2 , 0 , 66 , 3 , 2 , 2 , .286 , .323 , .351 , .674 , .312 , 81.0 , 0.83 , -0.50 
77,오태곤,20KSLF, 0.80 , 94 , 258 , 234 , 36 , 64 , 12 , 1 , 5 , 93 , 35 , 15 , 6 , 13 , 7 , 0 , 47 , 6 , 4 , 0 , .274 , .331 , .397 , .728 , .330 , 89.7 , 0.80 , 0.08 
78,김웅빈,20키1B, 0.75 , 73 , 235 , 207 , 25 , 57 , 13 , 0 , 8 , 94 , 31 , 1 , 0 , 17 , 3 , 1 , 65 , 6 , 5 , 3 , .275 , .335 , .454 , .789 , .344 , 104.1 , 0.75 , 0.14 
79,이창진,20KCF, 0.72 , 22 , 99 , 88 , 19 , 29 , 8 , 1 , 0 , 39 , 7 , 0 , 1 , 10 , 1 , 0 , 17 , 2 , 0 , 0 , .330 , .404 , .443 , .847 , .392 , 130.7 , 0.72 , 0.16 
80,전병우,20키3B, 0.71 , 119 , 402 , 359 , 46 , 85 , 13 , 3 , 8 , 128 , 48 , 7 , 0 , 37 , 2 , 0 , 100 , 7 , 2 , 2 , .237 , .310 , .357 , .667 , .307 , 77.8 , 0.71 , 0.20 
81,류지혁,20두K3B, 0.63 , 25 , 51 , 42 , 13 , 16 , 3 , 0 , 1 , 22 , 5 , 1 , 1 , 1 , 5 , 0 , 6 , 3 , 1 , 2 , .381 , .440 , .524 , .964 , .425 , 155.7 , 0.63 , 0.19 
82,유한준,20KDH, 0.63 , 119 , 428 , 386 , 48 , 108 , 17 , 0 , 11 , 158 , 64 , 0 , 0 , 40 , 0 , 2 , 51 , 9 , 1 , 1 , .280 , .347 , .409 , .756 , .345 , 99.2 , 0.63 , 0.83 
83,김형준,20NC, 0.63 , 44 , 82 , 72 , 12 , 22 , 1 , 0 , 3 , 32 , 11 , 0 , 0 , 10 , 0 , 0 , 21 , 1 , 0 , 0 , .306 , .390 , .444 , .835 , .384 , 124.9 , 0.63 , -0.17 
84,최항,20S2B, 0.62 , 47 , 155 , 132 , 21 , 35 , 3 , 0 , 2 , 44 , 15 , 1 , 0 , 21 , 1 , 1 , 27 , 3 , 0 , 1 , .265 , .368 , .333 , .701 , .334 , 92.9 , 0.62 , -0.09 
