순위,이름,팀,WAR,타격,도루,주루,수비,Rep.Wins,Pos.Wins,WAA_투수_선발,WAA_투수_구원,Rep.wins_선발,Rep.wins_구원,WAR_투수_선발,WAR_투수_구원
1,페디,23NP,2.03,0.00,0.00,0.00,0.00,0.00,0.00,1.53,0.00,0.51,0.00,2.03,0.00
2,안우진,23키P,1.95,0.00,0.00,0.00,0.00,0.00,0.00,1.46,0.00,0.49,0.00,1.95,0.00
3,나균안,23롯P,1.74,0.00,0.00,0.00,0.00,0.00,0.00,1.29,0.00,0.45,0.00,1.74,0.00
4,곽빈,23두P,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.41,0.00,1.40,0.00
,강민호,23삼C,1.40,0.79,0.04,0.04,0.03,0.39,0.12,0.00,0.00,0.00,0.00,0.00,0.00
6,플럿코,23LP,1.34,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.39,0.00,1.34,0.00
7,알포드,23KLF,1.28,0.99,0.02,-0.02,-0.01,0.41,-0.11,0.00,0.00,0.00,0.00,0.00,0.00
8,노시환,23한3B,1.22,0.61,-0.00,0.07,0.09,0.45,0.01,0.00,0.00,0.00,0.00,0.00,0.00
9,김현수,23LDH,1.20,1.11,0.01,-0.06,-0.03,0.40,-0.24,0.00,0.00,0.00,0.00,0.00,0.00
10,이용준,23NP,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.12,0.27,0.05,1.02,0.16
11,최정,23S3B,1.17,0.47,0.02,0.09,0.14,0.45,0.01,0.00,0.00,0.00,0.00,0.00,0.00
12,문보경,23L3B,1.16,0.42,0.04,0.03,0.18,0.48,0.03,0.00,0.00,0.00,0.00,0.00,0.00
13,이원석,23삼3B,1.15,0.96,-0.05,-0.02,-0.01,0.35,-0.09,0.00,0.00,0.00,0.00,0.00,0.00
14,오스틴,23L1B,1.14,0.75,-0.01,0.07,0.06,0.45,-0.18,0.00,0.00,0.00,0.00,0.00,0.00
15,엄상백,23KP,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.23,0.00,1.11,0.00
,앤더슨,23KP,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.51,0.00,1.11,0.00
17,김혜성,23키2B,1.09,0.30,0.16,0.08,0.09,0.43,0.03,0.00,0.00,0.00,0.00,0.00,0.00
18,최지훈,23SCF,1.08,0.46,0.04,0.03,0.13,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,고영표,23KP,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.06,0.45,0.01,0.99,0.07
20,구자욱,23삼RF,1.02,0.71,0.01,-0.05,-0.01,0.46,-0.12,0.00,0.00,0.00,0.00,0.00,0.00
21,서진용,23SP,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.00,0.16,0.00,0.96
22,러셀,23키SS,0.94,0.65,0.02,0.02,-0.18,0.36,0.07,0.00,0.00,0.00,0.00,0.00,0.00
23,문성주,23LRF,0.92,0.71,-0.16,0.00,-0.02,0.52,-0.13,0.00,0.00,0.00,0.00,0.00,0.00
24,에레디아,23SLF,0.90,0.71,-0.15,-0.03,0.06,0.43,-0.11,0.00,0.00,0.00,0.00,0.00,0.00
25,정수빈,23두CF,0.89,0.17,-0.03,0.10,0.21,0.39,0.03,0.00,0.00,0.00,0.00,0.00,0.00
26,최원태,23키P,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.41,0.00,0.88,0.00
27,양의지,23두C,0.85,0.35,0.02,-0.13,0.14,0.39,0.09,0.00,0.00,0.00,0.00,0.00,0.00
,채은성,23한RF,0.85,0.56,-0.00,0.03,-0.01,0.44,-0.17,0.00,0.00,0.00,0.00,0.00,0.00
,김재윤,23KP,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.15,0.00,0.85
,박민우,23N2B,0.85,0.28,0.06,0.03,0.08,0.39,0.01,0.00,0.00,0.00,0.00,0.00,0.00
31,김지찬,23삼2B,0.80,0.05,0.02,0.07,0.25,0.38,0.03,0.00,0.00,0.00,0.00,0.00,0.00
32,박동원,23LC,0.78,0.32,-0.00,0.02,-0.11,0.40,0.16,0.00,0.00,0.00,0.00,0.00,0.00
,문동주,23한P,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.30,0.00,0.78,0.00
34,박성한,23SSS,0.77,-0.01,0.02,0.08,0.21,0.38,0.10,0.00,0.00,0.00,0.00,0.00,0.00
35,오지환,23LSS,0.76,0.38,0.04,0.01,0.04,0.24,0.06,0.00,0.00,0.00,0.00,0.00,0.00
,정철원,23두P,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.00,0.21,0.00,0.76
,김휘집,23키3B,0.76,0.37,-0.00,0.03,0.00,0.32,0.03,0.00,0.00,0.00,0.00,0.00,0.00
38,김진욱,23롯P,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.16,0.00,0.75
39,양현종,23KP,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.32,0.00,0.73,0.00
,소크라테스,23KRF,0.73,0.08,0.02,-0.02,0.26,0.43,-0.04,0.00,0.00,0.00,0.00,0.00,0.00
,양석환,23두1B,0.73,0.72,0.02,0.01,-0.25,0.39,-0.16,0.00,0.00,0.00,0.00,0.00,0.00
42,이정후,23키CF,0.69,0.03,0.02,0.04,0.18,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,맥카티,23SP,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.40,0.00,0.66,0.00
,최형우,23KDH,0.66,0.73,-0.00,-0.14,-0.07,0.37,-0.23,0.00,0.00,0.00,0.00,0.00,0.00
45,홍창기,23LLF,0.64,0.50,-0.18,-0.07,-0.03,0.53,-0.13,0.00,0.00,0.00,0.00,0.00,0.00
,천재환,23NCF,0.64,0.21,-0.09,0.06,0.13,0.31,0.02,0.00,0.00,0.00,0.00,0.00,0.00
47,김동주,23두P,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.28,0.00,0.63,0.00
48,이의리,23KP,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.36,0.00,0.62,0.00
49,김주원,23NSS,0.61,0.21,0.04,0.01,-0.18,0.42,0.11,0.00,0.00,0.00,0.00,0.00,0.00
,김대우,23삼P,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.14,0.00,0.61
51,김재환,23두DH,0.60,0.56,-0.05,-0.06,-0.02,0.36,-0.20,0.00,0.00,0.00,0.00,0.00,0.00
,허경민,23두3B,0.60,0.04,0.06,0.04,0.04,0.38,0.03,0.00,0.00,0.00,0.00,0.00,0.00
53,최주환,23S2B,0.57,0.11,-0.00,0.01,0.08,0.34,0.03,0.00,0.00,0.00,0.00,0.00,0.00
,슐서,23KP,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.33,0.00,0.57,0.00
55,김상수,23롯P,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.14,0.00,0.56
56,도태훈,23N3B,0.55,0.32,0.02,0.08,-0.08,0.20,0.01,0.00,0.00,0.00,0.00,0.00,0.00
,류지혁,23K3B,0.55,0.25,-0.00,0.04,-0.09,0.33,0.02,0.00,0.00,0.00,0.00,0.00,0.00
,손동현,23KP,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.16,0.00,0.55
59,박건우,23NRF,0.54,0.33,-0.03,-0.05,0.01,0.44,-0.16,0.00,0.00,0.00,0.00,0.00,0.00
60,이형종,23키RF,0.52,0.30,-0.00,-0.04,-0.05,0.44,-0.14,0.00,0.00,0.00,0.00,0.00,0.00
61,서호철,23N2B,0.51,0.10,-0.00,-0.02,0.19,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00
,김민혁,23KCF,0.51,0.26,-0.00,-0.05,-0.05,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,송영진,23SP,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.20,0.19,0.06,0.25,0.26
64,최민준,23SP,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.19,0.00,0.50
65,뷰캐넌,23삼P,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.44,0.00,0.49,0.00
,김민성,23LSS,0.49,-0.01,0.04,-0.01,0.11,0.32,0.04,0.00,0.00,0.00,0.00,0.00,0.00
,박해민,23LCF,0.49,0.40,-0.13,-0.21,-0.01,0.40,0.04,0.00,0.00,0.00,0.00,0.00,0.00
68,김성욱,23NLF,0.48,0.20,0.06,0.02,0.02,0.24,-0.06,0.00,0.00,0.00,0.00,0.00,0.00
,김진성,23LP,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.17,0.00,0.48
,이창진,23KLF,0.48,0.01,0.04,-0.02,0.15,0.38,-0.08,0.00,0.00,0.00,0.00,0.00,0.00
71,김동엽,23삼DH,0.47,0.38,-0.02,0.06,0.00,0.15,-0.10,0.00,0.00,0.00,0.00,0.00,0.00
,고종욱,23KLF,0.47,0.24,0.04,0.02,0.04,0.19,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
73,정해영,23KP,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.16,0.00,0.46
,강백호,23KRF,0.46,0.31,-0.00,0.03,-0.12,0.44,-0.19,0.00,0.00,0.00,0.00,0.00,0.00
,임찬규,23LP,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.34,-0.17,0.18,0.11,0.52,-0.06
76,홍건희,23두P,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.15,0.00,0.45
,윤대경,23한P,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.13,0.00,0.45
,김기중,23한P,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.12,0.00,0.45
79,김진호,23NP,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.17,0.00,0.44
,요키시,23키P,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.39,0.00,0.44,0.00
81,황성빈,23롯LF,0.43,0.14,0.02,0.03,0.11,0.17,-0.04,0.00,0.00,0.00,0.00,0.00,0.00
,노진혁,23롯SS,0.43,-0.05,0.02,-0.04,0.06,0.35,0.09,0.00,0.00,0.00,0.00,0.00,0.00
83,송명기,23NP,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.35,0.00,0.42,0.00
84,최지민,23KP,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.16,0.00,0.41
85,양현,23키P,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.14,0.00,0.40
,안권수,23롯LF,0.40,0.34,-0.09,0.14,-0.34,0.40,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
,노경은,23SP,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.15,0.00,0.40
88,손아섭,23NDH,0.38,0.11,0.02,0.05,-0.02,0.47,-0.24,0.00,0.00,0.00,0.00,0.00,0.00
,장민재,23한P,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.27,0.00,0.38,0.00
90,전준우,23롯DH,0.37,0.13,0.04,0.03,0.04,0.33,-0.21,0.00,0.00,0.00,0.00,0.00,0.00
91,문성현,23키P,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.12,0.00,0.36
,추신수,23SDH,0.36,0.06,0.06,0.04,0.08,0.41,-0.28,0.00,0.00,0.00,0.00,0.00,0.00
,이준영,23KP,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.11,0.00,0.36
,이원석,23한CF,0.36,0.17,0.14,-0.01,-0.21,0.25,0.01,0.00,0.00,0.00,0.00,0.00,0.00
,후라도,23키P,0.36,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,0.00,0.38,0.00,0.36,0.00
96,임창민,23키P,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.10,0.00,0.35
,오태곤,23S1B,0.35,0.09,0.02,0.01,0.09,0.23,-0.10,0.00,0.00,0.00,0.00,0.00,0.00
98,박상원,23한P,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.04,0.00,0.34
,고승민,23롯1B,0.34,0.20,0.06,0.05,-0.19,0.35,-0.14,0.00,0.00,0.00,0.00,0.00,0.00
,구승민,23롯P,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.16,0.00,0.34
101,렉스,23롯RF,0.33,0.38,-0.00,0.02,-0.32,0.38,-0.12,0.00,0.00,0.00,0.00,0.00,0.00
,박경수,23K2B,0.33,0.09,-0.00,-0.05,0.05,0.23,0.02,0.00,0.00,0.00,0.00,0.00,0.00
,김영규,23NP,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.17,0.00,0.33
,강재민,23한P,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.17,0.00,0.33
105,이태양,23한P,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.04,0.03,0.15,0.13,0.19
,한승주,23한P,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.15,0.00,0.32
,김강민,23SCF,0.32,0.23,-0.00,0.01,-0.04,0.12,0.01,0.00,0.00,0.00,0.00,0.00,0.00
,김선빈,23K2B,0.32,0.22,-0.00,0.02,-0.22,0.28,0.02,0.00,0.00,0.00,0.00,0.00,0.00
,최재훈,23한C,0.32,-0.12,-0.05,0.02,0.04,0.29,0.13,0.00,0.00,0.00,0.00,0.00,0.00
,류진욱,23NP,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.11,0.00,0.32
111,유영찬,23LP,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.20,0.00,0.31
,박영현,23KP,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.19,0.00,0.31
,장성우,23KC,0.31,-0.17,-0.00,0.06,-0.02,0.35,0.10,0.00,0.00,0.00,0.00,0.00,0.00
,백정현,23삼P,0.31,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.32,0.00,0.31,0.00
115,박승욱,23롯2B,0.30,0.14,0.02,-0.01,0.08,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00
,함덕주,23LP,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.17,0.00,0.30
117,이우찬,23LP,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.16,0.00,0.29
,알칸타라,23두P,0.29,0.00,0.00,0.00,0.00,0.00,0.00,-0.08,0.00,0.37,0.00,0.29,0.00
119,장현식,23KP,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.04,0.00,0.28
,김동혁,23키P,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.19,0.00,0.28
,김원중,23롯P,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.18,0.00,0.28
,문승원,23SP,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.24,0.00,0.28,0.00
123,피렐라,23삼LF,0.27,-0.00,-0.03,0.04,-0.05,0.43,-0.12,0.00,0.00,0.00,0.00,0.00,0.00
,최지강,23두P,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.14,0.00,0.27
,구창모,23NP,0.27,0.00,0.00,0.00,0.00,0.00,0.00,-0.14,0.00,0.40,0.00,0.27,0.00
126,원태인,23삼P,0.26,0.00,0.00,0.00,0.00,0.00,0.00,-0.13,0.00,0.40,0.00,0.26,0.00
,홍현빈,23KCF,0.26,0.13,-0.00,0.05,-0.03,0.11,-0.00,0.00,0.00,0.00,0.00,0.00,0.00
128,최원준,23두P,0.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.14,0.00,0.39,0.00,0.25,0.00
,이승현,23삼P,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.18,0.00,0.25
130,양찬열,23두RF,0.24,-0.03,-0.00,0.01,0.17,0.11,-0.03,0.00,0.00,0.00,0.00,0.00,0.00
,김윤식,23LP,0.24,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,0.00,0.27,0.00,0.24,0.00
,이승현,23삼P,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.15,0.00,0.24
,박민호,23SP,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.08,0.00,0.24
134,김성진,23키P,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.12,0.00,0.23
135,김범수,23한P,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.17,0.00,0.22
,박병호,23K1B,0.22,0.01,0.02,0.01,-0.05,0.37,-0.15,0.00,0.00,0.00,0.00,0.00,0.00
137,오원석,23SP,0.21,0.00,0.00,0.00,0.00,0.00,0.00,-0.15,0.00,0.36,0.00,0.21,0.00
,박세혁,23NC,0.21,-0.19,-0.05,-0.02,0.08,0.27,0.11,0.00,0.00,0.00,0.00,0.00,0.00
139,임준섭,23SP,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.06,0.00,0.20
140,백승현,23LP,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.04,0.00,0.19
141,이지영,23키C,0.18,-0.20,0.02,0.03,-0.06,0.27,0.12,0.00,0.00,0.00,0.00,0.00,0.00
,이호성,23삼P,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.00,0.18
,이우성,23KRF,0.18,0.08,0.02,-0.10,0.11,0.10,-0.03,0.00,0.00,0.00,0.00,0.00,0.00
,김재웅,23키P,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.10,0.00,0.18
145,변우혁,23K1B,0.17,-0.06,-0.00,0.04,0.02,0.20,-0.04,0.00,0.00,0.00,0.00,0.00,0.00
,최준용,23롯P,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.03,0.00,0.17
,이재희,23삼P,0.17,0.00,0.00,0.00,0.00,0.00,0.00,-0.11,0.18,0.05,0.05,-0.06,0.23
148,하준영,23NP,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.14,0.00,0.16
,수아레즈,23삼P,0.16,0.00,0.00,0.00,0.00,0.00,0.00,-0.13,0.00,0.29,0.00,0.16,0.00
,이천웅,23LDH,0.16,0.15,-0.00,0.00,-0.00,0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.00
151,이로운,23SP,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.12,0.00,0.15
,최상민,23SCF,0.15,-0.00,-0.00,0.03,0.07,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,이재현,23삼SS,0.15,-0.25,-0.05,-0.03,0.02,0.37,0.09,0.00,0.00,0.00,0.00,0.00,0.00
154,박치국,23두P,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14
,김기훈,23KP,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,0.00,0.16,0.00,0.14
156,조수행,23두RF,0.13,-0.16,-0.07,0.06,0.13,0.20,-0.04,0.00,0.00,0.00,0.00,0.00,0.00
,오승환,23삼P,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.13,0.00,0.13
,신본기,23K3B,0.13,0.05,-0.00,-0.06,-0.02,0.14,0.02,0.00,0.00,0.00,0.00,0.00,0.00
,박석민,23N3B,0.13,-0.04,-0.00,-0.04,0.02,0.22,-0.03,0.00,0.00,0.00,0.00,0.00,0.00
,김도영,23K3B,0.13,0.10,-0.02,0.02,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,김준태,23KC,0.13,0.07,0.02,-0.03,-0.09,0.17,-0.01,0.00,0.00,0.00,0.00,0.00,0.00
,노수광,23한LF,0.13,-0.10,-0.00,-0.03,0.01,0.30,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
163,박대온,23NC,0.12,0.09,-0.00,-0.00,-0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00
,정우람,23한P,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.11,0.00,0.12
,김동헌,23키C,0.12,-0.04,-0.00,-0.00,-0.02,0.15,0.04,0.00,0.00,0.00,0.00,0.00,0.00
166,최동환,23LP,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.03,0.00,0.11
,김태연,23한1B,0.11,-0.39,0.02,-0.05,0.38,0.24,-0.09,0.00,0.00,0.00,0.00,0.00,0.00
,장승현,23두C,0.11,-0.00,-0.00,0.00,-0.02,0.09,0.04,0.00,0.00,0.00,0.00,0.00,0.00
,전상현,23KP,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,0.00,0.13,0.00,0.11
,신정락,23롯P,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.09,0.00,0.11
,김민식,23SC,0.11,-0.37,-0.00,0.02,0.17,0.19,0.10,0.00,0.00,0.00,0.00,0.00,0.00
172,이민석,23롯P,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.02,0.00,0.10
,윤명준,23롯P,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.08,0.00,0.10
,하영민,23키P,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.11,0.00,0.10
,이민호,23LP,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.07,0.00,0.10,0.00
176,오재일,23삼1B,0.09,-0.23,-0.00,0.02,0.08,0.39,-0.18,0.00,0.00,0.00,0.00,0.00,0.00
,임정호,23NP,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.13,0.00,0.09
178,임병욱,23키LF,0.08,-0.07,-0.00,0.03,-0.02,0.18,-0.03,0.00,0.00,0.00,0.00,0.00,0.00
,전병우,23키1B,0.08,-0.02,-0.00,-0.02,0.06,0.09,-0.04,0.00,0.00,0.00,0.00,0.00,0.00
,이병헌,23두P,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.08,0.00,0.08
,임기영,23KP,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.17,0.00,0.08
182,김태진,23키3B,0.07,-0.17,-0.00,0.04,-0.06,0.30,-0.03,0.00,0.00,0.00,0.00,0.00,0.00
,고효준,23SP,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,0.00,0.10,0.00,0.07
,김규성,23K2B,0.07,-0.16,0.04,0.01,0.03,0.13,0.03,0.00,0.00,0.00,0.00,0.00,0.00
185,강승호,23두2B,0.06,-0.13,0.04,0.04,-0.28,0.37,0.03,0.00,0.00,0.00,0.00,0.00,0.00
,김광현,23SP,0.06,0.00,0.00,0.00,0.00,0.00,0.00,-0.18,0.00,0.24,0.00,0.06,0.00
,마틴,23NCF,0.06,0.07,-0.00,-0.01,-0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
